CMDLINE /app/.heroku/python/bin/python app.py
MEM 1.121094 1525308176.1744
MEM 16.187500 1525308176.2751
MEM 22.664062 1525308176.3788
MEM 22.121094 1525308176.4793
MEM 22.960938 1525308176.5797
MEM 24.472656 1525308176.6802
MEM 24.472656 1525308176.7806
MEM 24.472656 1525308176.8811
MEM 24.472656 1525308176.9815
MEM 24.472656 1525308177.0820
MEM 24.472656 1525308177.1826
MEM 24.472656 1525308177.2831
MEM 24.472656 1525308177.3836
MEM 24.472656 1525308177.4841
MEM 24.472656 1525308177.5847
MEM 24.472656 1525308177.6852
MEM 24.472656 1525308177.7857
MEM 24.472656 1525308177.8863
MEM 24.472656 1525308177.9869
MEM 24.472656 1525308178.0874
MEM 24.472656 1525308178.1877
MEM 24.472656 1525308178.2882
MEM 24.472656 1525308178.3888
MEM 24.472656 1525308178.4893
MEM 24.472656 1525308178.5898
MEM 24.472656 1525308178.6904
MEM 24.472656 1525308178.7910
MEM 24.472656 1525308178.8915
MEM 24.472656 1525308178.9920
MEM 24.472656 1525308179.0925
MEM 24.472656 1525308179.1930
MEM 24.472656 1525308179.2935
MEM 24.472656 1525308179.3940
MEM 24.472656 1525308179.4946
MEM 24.472656 1525308179.5951
MEM 24.472656 1525308179.6956
MEM 24.472656 1525308179.7962
MEM 24.472656 1525308179.8967
MEM 24.472656 1525308179.9972
MEM 24.472656 1525308180.0977
MEM 24.472656 1525308180.1983
MEM 24.472656 1525308180.2988
MEM 24.472656 1525308180.3993
MEM 24.472656 1525308180.4999
MEM 24.472656 1525308180.6003
MEM 24.472656 1525308180.7008
MEM 24.472656 1525308180.8016
MEM 24.472656 1525308180.9023
MEM 24.472656 1525308181.0030
MEM 24.472656 1525308181.1037
MEM 24.472656 1525308181.2043
MEM 24.472656 1525308181.3050
MEM 24.472656 1525308181.4055
MEM 24.472656 1525308181.5060
MEM 24.472656 1525308181.6067
MEM 24.472656 1525308181.7072
MEM 24.472656 1525308181.8077
MEM 24.472656 1525308181.9082
MEM 24.472656 1525308182.0086
MEM 24.472656 1525308182.1091
MEM 24.472656 1525308182.2096
MEM 24.472656 1525308182.3101
MEM 24.472656 1525308182.4106
MEM 24.472656 1525308182.5112
MEM 24.472656 1525308182.6117
MEM 24.472656 1525308182.7122
MEM 24.472656 1525308182.8127
MEM 24.472656 1525308182.9132
MEM 24.472656 1525308183.0137
MEM 24.472656 1525308183.1142
MEM 24.472656 1525308183.2147
MEM 24.472656 1525308183.3152
MEM 24.472656 1525308183.4157
MEM 24.472656 1525308183.5162
MEM 24.472656 1525308183.6167
MEM 24.472656 1525308183.7173
MEM 24.472656 1525308183.8178
MEM 24.472656 1525308183.9183
MEM 24.472656 1525308184.0188
MEM 24.472656 1525308184.1193
MEM 24.472656 1525308184.2196
MEM 24.472656 1525308184.3201
MEM 24.472656 1525308184.4207
MEM 24.472656 1525308184.5214
MEM 24.472656 1525308184.6220
MEM 24.472656 1525308184.7226
MEM 24.472656 1525308184.8231
MEM 24.472656 1525308184.9236
MEM 24.472656 1525308185.0240
MEM 24.472656 1525308185.1245
MEM 24.472656 1525308185.2251
MEM 24.472656 1525308185.3256
MEM 24.472656 1525308185.4263
MEM 24.472656 1525308185.5268
MEM 24.472656 1525308185.6273
MEM 24.472656 1525308185.7277
MEM 24.472656 1525308185.8282
MEM 24.472656 1525308185.9287
MEM 24.472656 1525308186.0292
MEM 24.472656 1525308186.1297
MEM 24.472656 1525308186.2303
MEM 24.472656 1525308186.3308
MEM 24.472656 1525308186.4313
MEM 24.472656 1525308186.5318
MEM 24.472656 1525308186.6323
MEM 24.472656 1525308186.7328
MEM 24.472656 1525308186.8333
MEM 24.472656 1525308186.9338
MEM 24.472656 1525308187.0343
MEM 24.472656 1525308187.1348
MEM 24.472656 1525308187.2353
MEM 24.472656 1525308187.3358
MEM 24.472656 1525308187.4364
MEM 24.472656 1525308187.5371
MEM 24.472656 1525308187.6376
MEM 24.472656 1525308187.7381
MEM 24.472656 1525308187.8385
MEM 24.472656 1525308187.9390
MEM 24.472656 1525308188.0395
MEM 24.472656 1525308188.1401
MEM 24.472656 1525308188.2407
MEM 24.472656 1525308188.3413
MEM 24.472656 1525308188.4419
MEM 24.472656 1525308188.5424
MEM 24.472656 1525308188.6430
MEM 24.472656 1525308188.7435
MEM 24.472656 1525308188.8440
MEM 24.472656 1525308188.9446
MEM 24.472656 1525308189.0452
MEM 24.472656 1525308189.1457
MEM 24.472656 1525308189.2463
MEM 24.472656 1525308189.3468
MEM 24.472656 1525308189.4473
MEM 24.472656 1525308189.5479
MEM 24.472656 1525308189.6485
MEM 24.472656 1525308189.7491
MEM 24.472656 1525308189.8498
MEM 24.472656 1525308189.9506
MEM 24.472656 1525308190.0511
MEM 24.472656 1525308190.1516
MEM 24.472656 1525308190.2521
MEM 24.472656 1525308190.3526
MEM 24.472656 1525308190.4531
MEM 24.472656 1525308190.5538
MEM 24.472656 1525308190.6547
MEM 24.472656 1525308190.7552
MEM 24.472656 1525308190.8558
MEM 24.472656 1525308190.9563
MEM 24.472656 1525308191.0569
MEM 24.472656 1525308191.1575
MEM 24.472656 1525308191.2580
MEM 24.472656 1525308191.3587
